customer_id,full_name,pan,age,gender,dependents,monthly_income_inr,employment_type,years_in_current_job,existing_loans,existing_emi_inr,loan_purpose,loan_amount_inr,loan_duration_months,housing_status,pincode,city,state
CUST-2026-00001,Yash Kapoor,POSSK4287F,42,M,3,31069,Salaried,17,0,0,Car Loan,424978,36,Own,639904,Nagpur,Rajasthan
CUST-2026-00002,Pahal Balay,DXCHQ8310V,44,F,1,12000,Salaried,12,0,0,Education Loan,2418961,60,Rent,672276,Bongaigaon,Chhattisgarh
CUST-2026-00003,Yashasvi Bala,NGMHY6237B,31,F,5,34085,Business,2,0,0,Home Loan,5979144,120,Rent,289452,Bellary,Andhra Pradesh
CUST-2026-00004,Thomas Sen,LGGOG5832E,31,M,3,39061,Professional,9,2,9061,Home Loan,9875710,300,Family,784080,Bongaigaon,Nagaland
CUST-2026-00005,Pahal Oak,RCXTT3210X,38,M,3,74003,Salaried,13,1,20008,Car Loan,2263143,60,Family,122039,Chennai,Odisha
CUST-2026-00006,Harsh Chanda,EYXXP4139Z,51,F,4,84034,Salaried,20,0,0,Personal Loan,1327103,24,Own,909551,Thrissur,Himachal Pradesh
CUST-2026-00007,Aishani Bassi,GWLFO7239U,33,M,1,48426,Self-Employed,1,3,13569,Education Loan,1277025,180,Family,283149,Secunderabad,Madhya Pradesh
CUST-2026-00008,Kritika Brar,WBGRF1954Z,34,F,1,26917,Salaried,3,1,2749,Home Loan,12088150,120,Own,142939,Jorhat,Telangana
CUST-2026-00009,Rehaan Boase,IWGEL4229O,37,F,1,18944,Salaried,14,2,2337,Personal Loan,1405137,12,Own,873588,Tadipatri,Nagaland
CUST-2026-00010,Viraj Chaudhuri,UHSSU6412B,48,M,0,73296,Salaried,6,2,9250,Home Loan,1536161,300,Own,932158,Ramagundam,Arunachal Pradesh
CUST-2026-00011,Nicholas Prabhakar,RGDXG5645Q,40,M,3,12346,Salaried,16,0,0,Marriage Loan,268005,24,Own,181263,Malda,Madhya Pradesh
CUST-2026-00012,Onveer Walla,ZBFGY8831R,33,F,1,62380,Salaried,10,1,21220,Car Loan,604267,36,Rent,700342,Shimoga,Kerala
CUST-2026-00013,Ladli Madan,FIRWN2906I,44,M,2,115939,Salaried,4,0,0,Business Loan,9781552,24,Own,744211,Ujjain,Telangana
CUST-2026-00014,Veer Balay,JOLBJ9903V,25,F,3,55442,Self-Employed,4,1,5860,Home Loan,13093385,180,Rent,985137,Anantapur,Rajasthan
CUST-2026-00015,Dominic Kakar,YUKRT2173B,31,M,2,78745,Homemaker,2,2,15631,Business Loan,3470445,60,Own,882344,Rewa,Uttar Pradesh
CUST-2026-00016,Meghana Shanker,ZHQKZ5919F,50,M,1,96055,Business,27,0,0,Home Loan,4740180,300,Own,182793,Rajpur Sonarpur,Odisha
CUST-2026-00017,Adya Sangha,LNURY7149K,40,F,0,52957,Self-Employed,13,1,13674,Home Loan,11173542,180,Own,853216,Kolhapur,Chhattisgarh
CUST-2026-00018,Lakshit Upadhyay,QHOAH4564O,41,M,3,31346,Salaried,12,1,12217,Home Loan,8553918,300,Rent,292481,Mirzapur,Odisha
CUST-2026-00019,Michael Dutta,DBZPT4857M,43,F,3,57892,Self-Employed,19,0,0,Education Loan,2170220,120,Own,318803,Nashik,Meghalaya
CUST-2026-00020,Lekha Raj,MNOIT4884R,37,M,1,68051,Business,16,0,0,Personal Loan,1974074,12,Rent,950347,Kavali,Uttar Pradesh
CUST-2026-00021,Advay Contractor,HHIOD2670N,36,M,3,42571,Salaried,8,1,12797,Car Loan,1303469,60,Own,858207,Dehri,Punjab
CUST-2026-00022,Chaaya Saran,HKXVN7784I,33,F,2,24169,Professional,9,2,2576,Business Loan,6881734,60,Own,478846,Mau,Sikkim
