customer_id,full_name,pan,age,gender,dependents,monthly_income_inr,employment_type,years_in_current_job,existing_loans,existing_emi_inr,loan_purpose,loan_amount_inr,loan_duration_months,housing_status,pincode,city,state
CUST-2026-D00001,Lajita Iyengar,FSPUU8824F,38,M,2,41203,Salaried,12,1,17656,Personal Loan,1358454,48,Rent,465265,Berhampur,Haryana
CUST-2026-D00002,Gabriel Krishnamurthy,XPZJF9175F,28,M,2,51018,Salaried,3,1,22940,Personal Loan,1019066,60,Family,802375,Bettiah,Sikkim
CUST-2026-D00003,Vrishti Iyengar,INFUB2247L,32,M,0,50263,Salaried,6,1,9880,Car Loan,323773,84,Family,609273,Pudukkottai,Odisha
CUST-2026-D00004,Kashvi Rama,ZKYWI4228L,55,M,2,196071,Salaried,30,1,35733,Home Loan,6465616,180,Own,185906,Saharanpur,Manipur
CUST-2026-D00005,Hamsini Butala,SKLIR6387G,40,M,2,30269,Self-Employed,13,2,13295,Home Loan,2130697,240,Rent,856111,Nandyal,Karnataka
CUST-2026-D00006,Brijesh Luthra,UNYGW4662V,45,M,1,15000,Professional,13,3,4348,Home Loan,6416224,240,Rent,758715,Khandwa,Gujarat
CUST-2026-D00007,Faris Shere,RTWGW3315A,45,F,1,46901,Salaried,11,1,20968,Car Loan,1019989,60,Rent,814959,Medininagar,Manipur
CUST-2026-D00008,Ishita Dayal,UBABH9675G,59,M,2,15000,Self-Employed,17,1,4605,Car Loan,386477,36,Rent,942171,Nanded,Telangana
CUST-2026-D00009,Peter Thakur,MVSEX9569V,38,M,1,15000,Professional,12,1,3715,Personal Loan,485392,36,Own,188377,Vadodara,Bihar
CUST-2026-D00010,Onveer Som,ELSKU1123R,41,F,2,44613,Salaried,1,1,7473,Car Loan,1264504,60,Family,923265,Jodhpur,Maharashtra
CUST-2026-D00011,Luke Mukherjee,JUGPZ1788N,42,F,2,130096,Business,4,1,21682,Education Loan,3381338,84,Own,298299,Eluru,Karnataka
CUST-2026-D00012,Nidra Iyer,WCVWV7330M,47,M,2,23403,Self-Employed,3,2,5438,Personal Loan,1587219,60,Own,276544,Rajpur Sonarpur,Manipur
CUST-2026-D00013,Netra Date,WRUZJ2216Y,30,M,3,101523,Salaried,6,2,16548,Personal Loan,1321880,36,Family,412802,Fatehpur,Arunachal Pradesh
CUST-2026-D00014,Matthew Rege,CAYVD9608F,47,F,2,111748,Self-Employed,1,0,0,Personal Loan,393587,60,Rent,561548,Jalandhar,Bihar
CUST-2026-D00015,Chaman Ghosh,GOFWL2817H,31,M,2,17286,Self-Employed,2,1,7607,Home Loan,9921530,180,Own,829849,Alappuzha,Chhattisgarh
CUST-2026-D00016,Eiravati Tata,EUAAB1022V,34,M,1,65774,Self-Employed,8,1,17783,Car Loan,1701690,84,Own,715295,Bardhaman,Bihar
CUST-2026-D00017,Quincy Bora,GPVJJ3357A,41,M,2,29522,Salaried,9,1,7673,Personal Loan,107079,36,Own,332170,Hyderabad,Odisha
CUST-2026-D00018,Geetika Kalita,XGSVH2923D,33,F,3,26324,Self-Employed,11,1,7419,Personal Loan,838206,60,Own,431718,Silchar,Karnataka
CUST-2026-D00019,Libni Sachdeva,HTXSL9396R,43,M,1,90664,Self-Employed,8,0,0,Personal Loan,1597084,12,Family,220983,Deoghar,Assam
CUST-2026-D00020,Baljiwan Pradhan,WFWRP0726D,55,F,3,53697,Retired,2,1,8833,Personal Loan,1380101,24,Own,560590,Raiganj,Haryana
CUST-2026-D00021,Upkaar Mukhopadhyay,CYHWS7706C,50,F,1,43865,Self-Employed,9,2,18895,Personal Loan,1375002,12,Own,520158,Satara,Gujarat
CUST-2026-D00022,Leela Minhas,ENUFJ5241A,30,F,2,95507,Self-Employed,8,0,0,Car Loan,1487950,48,Rent,933558,Jodhpur,Manipur
CUST-2026-D00023,Aahana Boase,CTSEO6010G,47,M,0,24059,Salaried,6,2,4329,Education Loan,2705835,84,Own,461041,Pondicherry,Uttar Pradesh
CUST-2026-D00024,Joshua Kunda,YXWVQ6796R,40,F,2,31082,Self-Employed,11,0,0,Personal Loan,1509114,60,Own,653050,Ramagundam,Maharashtra
CUST-2026-D00025,Barkha Raghavan,EIYRS2631F,51,F,0,72682,Salaried,1,0,0,Car Loan,1528480,60,Own,769272,Jammu,Madhya Pradesh
CUST-2026-D00026,Rudra Pai,BRXJI2162I,29,F,1,65209,Self-Employed,6,0,0,Business Loan,6401231,24,Rent,245198,Raichur,Tamil Nadu
CUST-2026-D00027,Reyansh Garg,NDHTC9044C,31,M,1,182896,Professional,0,1,62498,Car Loan,1335760,84,Rent,426168,Erode,Telangana
CUST-2026-D00028,Nilima Pai,FNLQA7616F,34,M,0,30659,Homemaker,1,0,0,Car Loan,365417,84,Family,956851,Delhi,Bihar
CUST-2026-D00029,Aarav Vig,THJXR0385G,41,F,3,103107,Self-Employed,7,1,43268,Personal Loan,1643260,48,Rent,819522,Rourkela,Mizoram
CUST-2026-D00030,Samesh Lalla,GXWSA5223M,35,F,2,85625,Self-Employed,7,0,0,Car Loan,427174,60,Own,388019,Bhind,Nagaland
CUST-2026-D00031,Sai Bail,NOPUM5733N,37,M,0,66523,Business,15,1,15789,Car Loan,891704,36,Rent,454455,Aizawl,Assam
CUST-2026-D00032,Dalbir Saha,BBQJS2301R,59,M,0,106627,Homemaker,22,1,47249,Car Loan,638568,48,Family,559480,Uluberia,Nagaland
CUST-2026-D00033,Rishi Chaudhry,MLNPH4400V,43,F,1,84282,Professional,15,1,35288,Education Loan,4255736,180,Rent,237198,Silchar,Uttar Pradesh
CUST-2026-D00034,Alka Sharma,YYZAD7127A,37,M,1,118278,Salaried,6,0,0,Education Loan,4795285,180,Rent,173093,Warangal,Chhattisgarh
CUST-2026-D00035,Lopa Sahota,VJXGA4198G,57,M,0,25628,Salaried,16,2,5350,Personal Loan,1048807,36,Rent,529362,Karimnagar,Himachal Pradesh
CUST-2026-D00036,Anusha Sheth,AANCC9979W,54,F,3,110723,Business,15,0,0,Car Loan,2313678,84,Family,848970,Udaipur,Uttarakhand
